profile_name,Origin_X,Origin_Y,Azimuth
LBI170,"597,227.48","323,062.94",112.63
LBI173,"597,097.42","322,750.89",112.63
LBI177,"596,969.18","322,443.21",112.63
LBI180,"596,851.45","322,136.79",110.69
LBI183,"596,733.49","321,819.66",110.4
LBI187,"596,617.28","321,507.24",110.4
LBI190,"596,487.23","321,157.61",109.75
LBI193,"596,384.86","320,882.40",110.4
LBI197,"596,268.65","320,569.98",110.4
LBI200,"596,154.38","320,262.79",109.72
LBI203,"596,036.23","319,945.14",110.4
LBI207,"595,911.31","319,609.29",110.4
LBI210,"595,805.85","319,325.79",110.4
LBI213,"595,688.62","319,010.63",110.4
LBI217,"595,571.39","318,695.46",110.4
LBI220,"595,457.32","318,388.79",110.4
LBI223,"595,338.97","318,070.61",110.4
LBI227,"595,222.76","317,758.19",110.4
LBI230,"595,106.55","317,445.77",110.4
LBI233,"594,970.85","317,141.44",114.64
LBI237,"594,831.88","316,838.45",114.64
LBI240,"594,692.91","316,535.47",114.64
LBI243,"594,553.94","316,232.49",114.64
LBI247,"594,414.97","315,929.51",114.64
LBI250,"594,276.00","315,626.52",114.64
LBI253,"594,128.69","315,305.36",114.64
LBI257,"593,998.06","315,020.56",114.64
LBI260,"593,859.10","314,717.57",114.64
LBI263,"593,720.13","314,414.59",114.64
LBI267,"593,581.16","314,111.61",114.64
LBI270,"593,442.19","313,808.63",114.64
LBI273,"593,303.22","313,505.64",114.64
LBI277,"593,164.25","313,202.66",114.64
LBI280,"593,025.28","312,899.68",114.64
LBI283,"592,863.94","312,608.06",119.25
LBI287,"592,701.09","312,317.22",119.25
LBI290,"592,538.23","312,026.38",119.25
LBI293,"592,375.38","311,735.54",119.25
LBI297,"592,212.52","311,444.69",119.25
LBI300,"591,996.11","311,058.20",119.25
LBI303,"591,886.81","310,863.01",119.25
LBI307,"591,723.95","310,572.17",119.25
LBI310,"591,561.10","310,281.32",119.25
LBI313,"591,398.24","309,990.48",119.25
LBI317,"591,235.39","309,699.64",119.25
LBI320,"591,072.53","309,408.80",119.25
LBI323,"590,909.17","309,118.24",120.12
LBI327,"590,741.90","308,829.92",120.12
LBI330,"590,574.62","308,541.60",120.12
LBI333,"590,407.34","308,253.28",120.12
LBI337,"590,240.06","307,964.96",120.12
LBI340,"590,072.79","307,676.63",120.12
LBI343,"589,905.51","307,388.31",120.12
LBI347,"589,738.23","307,099.99",120.12
LBI350,"589,570.95","306,811.67",120.12
LBI353,"589,406.17","306,527.65",120.12
LBI357,"589,241.39","306,243.63",120.12
LBI360,"589,069.12","305,946.71",120.12
LBI363,"588,906.93","305,667.15",120.12
LBI367,"588,739.70","305,378.91",120.12
LBI370,"588,567.29","305,081.74",120.12
LBI373,"588,405.12","304,802.50",120.15
LBI377,"588,237.71","304,514.36",120.16
LBI380,"588,064.98","304,217.05",120.16
LBI383,"587,902.90","303,938.08",120.16
LBI387,"587,735.49","303,649.94",120.16
LBI390,"587,562.62","303,352.39",120.16
LBI393,"587,400.68","303,073.66",120.16
LBI397,"587,233.27","302,785.52",120.16
LBI400,"587,060.26","302,487.74",120.16
LBI403,"586,898.46","302,209.25",120.16
LBI407,"586,731.05","301,921.11",120.16
LBI410,"586,557.90","301,623.08",120.16
LBI413,"586,396.24","301,344.83",120.16
LBI417,"586,228.83","301,056.69",120.16
LBI420,"586,055.53","300,758.42",120.16
LBI423,"585,885.79","300,485.39",121.99
LBI427,"585,708.31","300,203.34",122.18
LBI430,"585,524.44","299,911.14",122.18
LBI433,"585,353.35","299,639.25",122.18
LBI437,"585,175.88","299,357.20",122.18
LBI440,"584,991.86","299,064.76",122.18
LBI443,"584,820.92","298,793.11",122.18
LBI447,"584,643.44","298,511.06",122.18
LBI450,"584,459.28","298,218.39",122.18
LBI453,"584,288.48","297,946.97",122.18
LBI457,"584,111.01","297,664.92",122.18
LBI460,"583,926.69","297,372.01",122.18
LBI463,"583,756.05","297,100.83",122.18
LBI467,"583,578.57","296,818.78",122.18
LBI470,"583,394.11","296,525.63",122.18
LBI473,"583,230.17","296,250.74",120.37
LBI477,"583,064.20","295,961.77",119.87
LBI480,"582,891.56","295,661.19",119.87
LBI483,"582,732.26","295,383.83",119.87
LBI487,"582,566.29","295,094.86",119.87
LBI490,"582,393.51","294,794.04",119.87
LBI493,"582,234.35","294,516.92",119.87
LBI497,"582,068.38","294,227.96",119.87
LBI500,"581,895.46","293,926.89",119.87
LBI503,"581,736.44","293,650.02",119.87
LBI507,"581,570.47","293,361.05",119.87
LBI510,"581,397.41","293,059.74",119.87
LBI513,"581,238.53","292,783.11",119.87
LBI517,"581,072.56","292,494.14",119.85
LBI520,"580,899.60","292,192.46",119.72
LBI523,"580,741.60","291,915.64",119.72
LBI527,"580,576.41","291,626.23",119.72
LBI530,"580,403.89","291,323.97",119.72
LBI533,"580,233.64","291,025.69",119.72
LBI537,"580,080.84","290,757.98",119.72
LBI540,"579,908.18","290,455.48",119.72
LBI543,"579,750.46","290,179.15",119.72
LBI547,"579,585.26","289,889.74",119.72
LBI550,"579,412.47","289,587.00",119.72
LBI553,"579,251.08","289,304.25",119.72
LBI557,"579,089.69","289,021.49",119.72
LBI560,"578,916.76","288,718.51",119.72
LBI563,"578,759.31","288,442.66",119.72
LBI567,"578,594.12","288,153.25",119.72
LBI570,"578,421.05","287,850.02",119.72
LBI573,"578,282.05","287,564.76",116.02
LBI577,"578,136.60","287,264.94",115.88
LBI580,"577,984.08","286,950.56",115.88
LBI583,"577,845.69","286,665.30",115.88
LBI587,"577,700.24","286,365.48",115.88
LBI590,"577,547.60","286,050.85",115.88
LBI593,"577,409.34","285,765.84",115.88
LBI597,"577,263.88","285,466.02",115.88
LBI600,"577,111.12","285,151.13",115.88
LBI603,"576,972.98","284,866.37",115.88
LBI607,"576,827.53","284,566.55",115.88
LBI610,"576,674.65","284,251.42",115.88
LBI613,"576,536.62","283,966.91",115.88
LBI617,"576,391.17","283,667.09",115.88
LBI620,"576,238.17","283,351.70",115.88
LBI623,"576,087.68","283,073.92",118.42
LBI627,"575,928.50","282,781.15",118.53
LBI630,"575,760.93","282,472.94",118.53
LBI633,"575,610.15","282,195.62",118.53
LBI637,"575,450.97","281,902.85",118.53
LBI640,"575,283.26","281,594.40",118.53
LBI643,"575,132.62","281,317.32",118.53
LBI647,"574,973.44","281,024.56",118.53
LBI650,"574,805.60","280,715.86",118.53
LBI653,"574,655.08","280,439.02",118.53
LBI657,"574,495.91","280,146.26",118.53
LBI660,"574,327.93","279,837.32",118.53
LBI663,"574,177.55","279,560.73",118.53
LBI667,"574,018.37","279,267.96",118.53
LBI670,"573,850.27","278,958.77",118.53
LBI673,"573,690.92","278,687.65",120.72
LBI677,"573,518.81","278,402.29",121.1
LBI680,"573,336.91","278,100.69",121.1
LBI683,"573,174.60","277,831.58",121.1
LBI687,"573,002.49","277,546.22",121.1
LBI690,"572,820.44","277,244.38",121.1
LBI693,"572,658.28","276,975.51",121.1
LBI697,"572,486.17","276,690.15",121.1
LBI700,"572,303.98","276,388.07",121.1
LBI703,"572,141.96","276,119.44",121.1
LBI707,"571,969.80","275,834.00",121.1
LBI710,"571,787.51","275,531.76",121.1
LBI713,"571,615.36","275,246.33",121.1
LBI717,"571,443.20","274,960.89",121.1
LBI720,"571,271.05","274,675.45",121.1
LBI723,"571,109.50","274,384.17",116.6
LBI727,"570,949.06","274,063.77",116.6
LBI730,"570,811.00","273,788.07",116.6
LBI733,"570,661.75","273,490.01",116.6
LBI737,"570,512.50","273,191.96",116.6
LBI740,"570,363.25","272,893.91",116.6
LBI743,"570,214.00","272,595.85",116.6
LBI747,"570,064.75","272,297.80",116.6
LBI750,"569,915.50","271,999.75",116.6
LBI753,"569,766.25","271,701.70",116.6
LBI757,"569,617.00","271,403.64",116.6
LBI760,"569,467.75","271,105.59",116.6
LBI763,"569,318.50","270,807.54",116.6
LBI767,"569,169.25","270,509.48",116.6
LBI770,"569,020.01","270,211.43",116.6
LBI773,"568,867.51","269,915.05",117.89
LBI777,"568,711.59","269,620.43",117.89
LBI780,"568,555.66","269,325.82",117.89
LBI783,"568,399.74","269,031.20",117.89
LBI787,"568,243.81","268,736.58",117.89
LBI790,"568,087.89","268,441.97",117.89
LBI793,"567,931.97","268,147.35",117.89
LBI797,"567,764.35","267,830.63",117.89
LBI800,"567,620.12","267,558.12",117.89
LBI803,"567,464.19","267,263.50",117.89
LBI807,"567,308.27","266,968.89",117.89
LBI810,"567,152.34","266,674.27",117.89
LBI813,"566,996.42","266,379.65",117.89
LBI817,"566,840.49","266,085.04",117.89
LBI820,"566,670.68","265,769.63",120.5
LBI823,"566,500.95","265,512.21",123.4
LBI827,"566,317.46","265,233.93",123.4
LBI830,"566,133.97","264,955.64",123.4
LBI833,"565,950.49","264,677.35",123.4
LBI837,"565,767.00","264,399.07",123.4
LBI840,"565,583.51","264,120.78",123.4
LBI843,"565,400.02","263,842.50",123.4
LBI847,"565,216.53","263,564.21",123.4
LBI850,"565,033.05","263,285.92",123.4
LBI853,"564,849.56","263,007.64",123.4
LBI857,"564,666.07","262,729.35",123.4
LBI860,"564,482.58","262,451.06",123.4
LBI863,"564,187.68","262,138.01",138.27
LBI867,"564,013.54","261,982.71",138.27
LBI870,"563,764.76","261,760.85",124
LBI873,"563,530.18","261,551.65",127.35
LBI877,"563,316.41","261,271.55",127.35
LBI880,"563,114.19","261,006.56",124
LBI883,"562,911.96","260,741.58",127.35
LBI887,"562,709.74","260,476.60",127.35
LBI890,"562,507.51","260,211.61",124
LBI893,"562,305.29","259,946.63",127.35
LBI897,"562,103.06","259,681.65",127.35
LBI900,"561,900.84","259,416.66",124
LBI903,"561,698.61","259,151.68",127.35
LBI907,"561,496.39","258,886.70",127.35
LBI910,"561,284.94","258,616.97",124
LBI913,"561,096.67","258,353.64",118.86
LBI917,"560,935.79","258,061.71",118.86
LBI920,"560,774.90","257,769.77",124
LBI923,"560,614.01","257,477.84",118.86
LBI927,"560,453.13","257,185.90",118.86
LBI930,"560,292.24","256,893.96",124
LBI933,"560,131.36","256,602.03",118.86
LBI937,"559,970.47","256,310.09",118.86
LBI940,"559,809.58","256,018.15",124
LBI943,"559,648.70","255,726.22",118.86
LBI947,"559,487.81","255,434.28",118.86
LBI950,"559,326.92","255,142.35",124
LBI953,"559,166.04","254,850.41",118.86
LBI957,"559,005.15","254,558.47",118.86
LBI960,"558,723.79","254,489.67",124
LBI963,"558,433.93","254,425.38",125.01
LBI967,"558,242.68","254,152.37",125.01
LBI970,"558,051.43","253,879.36",124
LBI973,"557,860.18","253,606.35",125.01
LBI977,"557,668.93","253,333.34",125.01
LBI980,"557,477.68","253,060.33",124
LBI983,"557,286.43","252,787.32",125.01
LBI987,"557,095.18","252,514.31",125.01
LBI990,"556,903.93","252,241.30",124
LBI993,"556,712.68","251,968.29",125.01
LBI997,"556,521.43","251,695.28",125.01
BI00B,"537,938.04","226,852.73",67.38
BI00A,"530,188.65","220,040.45",160.935
BI01,"540,218.00","226,166.00",8.2
BI02,"540,561.00","226,210.00",154
BI03,"540,948.00","226,365.00",135
BI03A,"541,370.00","227,020.00",108
BI04,"539,021.50","221,577.70",24.6
BI05,"539,682.10","221,527.10",25.1
BI05A,"539,886.10","221,189.60",40.3
BI06,"540,090.10","220,852.10",55.5
BI07,"540,618.20","221,107.10",117.3
BI08,"538,996.60","219,116.10",119.5
BI09,"538,094.90","218,011.40",127.3
BI10,"537,224.90","217,053.40",132.5
BI11,"536,427.90","216,024.70",135
BI12,"535,866.30","215,272.40",134.2
BI13,"535,268.30","214,471.10",133.7
BI14,"534,670.20","213,669.70",131.6
BI15,"534,072.20","212,868.40",127.6
BI16,"533,510.80","212,040.80",124.2
BI17,"533,230.10","211,627.00",130.2
BI18,"532,940.50","211,220.40",133
BI19,"532,599.80","210,854.50",133
BI20,"532,259.10","210,488.50",133
BI21,"531,918.30","210,122.60",131
BI22,"531,577.60","209,756.60",129.1
BI23,"531,256.80","209,373.90",127.4
BI24,"530,953.10","208,976.70",128.2
BI25,"530,649.40","208,579.50",127.4
BI26,"530,345.70","208,182.30",127.4
BI27,"530,030.20","207,795.10",132.8
BI28,"529,690.70","207,428.00",132.8
BI29,"529,351.20","207,060.90",132.8
BI30,"529,011.80","206,693.80",132.8
BI31,"528,600.00","206,257.60",135.2
BI32,"528,310.60","205,981.50",136.3
BI33,"527,948.90","205,636.30",136.3
BI34,"527,587.20","205,291.10",136.3
BI35,"527,063.90","204,858.90",137.4
BI36,"526,335.30","204,285.40",140.4
BI37,"525,535.20","203,685.80",142.5
BI38,"524,735.00","203,086.10",142.8
BI39,"523,934.90","202,486.50",143.7
BI40,"523,134.80","201,886.80",143.7
BI41,"522,081.30","201,211.00",143.7
BI42,"520,608.50","200,266.00",147.3
BI43,"519,518.40","198,986.00",147.1
AB051,"517,566.96","193,823.78",147
AB001,"517,495.34","193,584.11",147
AB052,"517,262.37","192,936.56",149
AB002,"516,979.31","192,730.63",150
AB053,"516,655.68","192,495.61",150
AB054,"516,450.38","192,353.16",151
AB003,"516,217.75","192,206.44",152
AB055,"515,858.27","191,979.79",153
AB004,"515,435.28","191,713.12",153
AB005,"514,990.90","191,484.54",154
AB006,"514,543.36","191,261.59",154
AB056,"514,364.35","191,172.50",154
AB007,"514,095.53","191,039.25",155
AB008,"513,642.99","190,826.62",156
AB009,"513,099.95","190,571.47",157
