profile_name,Origin_X,Origin_Y,Azimuth,Project,,NSOrder,,Station,,Street,Town,ProjDuneEl,ProjBermEl,ProjBermW,ClosureDep,MHW_Elev,MLW_Elev,StormLine,CSDPLine,
MA097,"613,682.182","415,004.031",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,97,,480+00,48000,btw Vance & Magee Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA098,"613,614.745","414,508.600",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,98,,485+00,48500,btw Brown & Camden Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA099,"613,547.307","414,013.169",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,99,,490+00,49000,Philadelphia Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA100,"613,479.870","413,517.737",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,100,,495+00,49500,Brooklyn Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA101,"613,412.433","413,022.306",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,101,,500+00,50000,Virginia Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA102,"613,344.996","412,526.875",97.750,"Manasquan Inlet to Barnegat Inlet, NJ",1,102,,505+00,50500,btw PA & NY Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA103,"613,289.749","412,023.235",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,103,,510+00,51000,btw NJ & Jersey City Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA104,"613,238.967","411,525.820",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,104,,515+00,51500,btw Princeton & Elizabeth Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA105,"613,188.186","411,028.406",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,105,,520+00,52000,Newark Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,Yes,
MA106,"613,137.404","410,530.991",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,106,,525+00,52500,Dover Ave.,"Lavallette, NJ",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA107,"613,086.623","410,033.577",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,107,,530+00,53000,2nd Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA108,"613,035.842","409,536.162",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,108,,535+00,53500,btw 3rd & 4th Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
MA109,"612,985.060","409,038.748",95.830,"Manasquan Inlet to Barnegat Inlet, NJ",1,109,,540+00,54000,btw 5th & 6th Ave.,"Toms River Township, NJ (Ortley Beach)",22.00,8.50,40.00,-28.00,1.5,-2.77,No,No,
